areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2020-08-31,90
K02000001,United Kingdom,overview,2020-08-30,77
K02000001,United Kingdom,overview,2020-08-29,110
K02000001,United Kingdom,overview,2020-08-28,137
K02000001,United Kingdom,overview,2020-08-27,153
K02000001,United Kingdom,overview,2020-08-26,133
K02000001,United Kingdom,overview,2020-08-25,122
K02000001,United Kingdom,overview,2020-08-24,93
K02000001,United Kingdom,overview,2020-08-23,74
K02000001,United Kingdom,overview,2020-08-22,73
K02000001,United Kingdom,overview,2020-08-21,109
K02000001,United Kingdom,overview,2020-08-20,98
K02000001,United Kingdom,overview,2020-08-19,117
K02000001,United Kingdom,overview,2020-08-18,131
K02000001,United Kingdom,overview,2020-08-17,98
K02000001,United Kingdom,overview,2020-08-16,80
K02000001,United Kingdom,overview,2020-08-15,99
K02000001,United Kingdom,overview,2020-08-14,103
K02000001,United Kingdom,overview,2020-08-13,130
K02000001,United Kingdom,overview,2020-08-12,101
K02000001,United Kingdom,overview,2020-08-11,115
K02000001,United Kingdom,overview,2020-08-10,88
K02000001,United Kingdom,overview,2020-08-09,107
K02000001,United Kingdom,overview,2020-08-08,141
K02000001,United Kingdom,overview,2020-08-07,116
K02000001,United Kingdom,overview,2020-08-06,102
K02000001,United Kingdom,overview,2020-08-05,141
K02000001,United Kingdom,overview,2020-08-04,129
K02000001,United Kingdom,overview,2020-08-03,110
K02000001,United Kingdom,overview,2020-08-02,95
K02000001,United Kingdom,overview,2020-08-01,127
K02000001,United Kingdom,overview,2020-07-31,115
K02000001,United Kingdom,overview,2020-07-30,133
K02000001,United Kingdom,overview,2020-07-29,133
K02000001,United Kingdom,overview,2020-07-28,119
K02000001,United Kingdom,overview,2020-07-27,131
K02000001,United Kingdom,overview,2020-07-26,109
K02000001,United Kingdom,overview,2020-07-25,119
K02000001,United Kingdom,overview,2020-07-24,158
K02000001,United Kingdom,overview,2020-07-23,200
K02000001,United Kingdom,overview,2020-07-22,158
K02000001,United Kingdom,overview,2020-07-21,127
K02000001,United Kingdom,overview,2020-07-20,131
K02000001,United Kingdom,overview,2020-07-19,126
K02000001,United Kingdom,overview,2020-07-18,105
K02000001,United Kingdom,overview,2020-07-17,144
K02000001,United Kingdom,overview,2020-07-16,167
K02000001,United Kingdom,overview,2020-07-15,166
K02000001,United Kingdom,overview,2020-07-14,187
K02000001,United Kingdom,overview,2020-07-13,189
K02000001,United Kingdom,overview,2020-07-12,114
K02000001,United Kingdom,overview,2020-07-11,177
K02000001,United Kingdom,overview,2020-07-10,175
K02000001,United Kingdom,overview,2020-07-09,215
K02000001,United Kingdom,overview,2020-07-08,208
K02000001,United Kingdom,overview,2020-07-07,215
K02000001,United Kingdom,overview,2020-07-06,205
K02000001,United Kingdom,overview,2020-07-05,196
K02000001,United Kingdom,overview,2020-07-04,203
K02000001,United Kingdom,overview,2020-07-03,214
K02000001,United Kingdom,overview,2020-07-02,217
K02000001,United Kingdom,overview,2020-07-01,269
K02000001,United Kingdom,overview,2020-06-30,296
K02000001,United Kingdom,overview,2020-06-29,221
K02000001,United Kingdom,overview,2020-06-28,209
K02000001,United Kingdom,overview,2020-06-27,287
K02000001,United Kingdom,overview,2020-06-26,339
K02000001,United Kingdom,overview,2020-06-25,325
K02000001,United Kingdom,overview,2020-06-24,369
K02000001,United Kingdom,overview,2020-06-23,363
K02000001,United Kingdom,overview,2020-06-22,395
K02000001,United Kingdom,overview,2020-06-21,288
K02000001,United Kingdom,overview,2020-06-20,257
K02000001,United Kingdom,overview,2020-06-19,336
K02000001,United Kingdom,overview,2020-06-18,405
K02000001,United Kingdom,overview,2020-06-17,432
K02000001,United Kingdom,overview,2020-06-16,456
K02000001,United Kingdom,overview,2020-06-15,440
K02000001,United Kingdom,overview,2020-06-14,364
K02000001,United Kingdom,overview,2020-06-13,387
K02000001,United Kingdom,overview,2020-06-12,394
K02000001,United Kingdom,overview,2020-06-11,446
K02000001,United Kingdom,overview,2020-06-10,512
K02000001,United Kingdom,overview,2020-06-09,494
K02000001,United Kingdom,overview,2020-06-08,412
K02000001,United Kingdom,overview,2020-06-07,407
K02000001,United Kingdom,overview,2020-06-06,407
K02000001,United Kingdom,overview,2020-06-05,475
K02000001,United Kingdom,overview,2020-06-04,566
K02000001,United Kingdom,overview,2020-06-03,634
K02000001,United Kingdom,overview,2020-06-02,668
K02000001,United Kingdom,overview,2020-06-01,604
K02000001,United Kingdom,overview,2020-05-31,529
K02000001,United Kingdom,overview,2020-05-30,568
K02000001,United Kingdom,overview,2020-05-29,615
K02000001,United Kingdom,overview,2020-05-28,703
K02000001,United Kingdom,overview,2020-05-27,712
K02000001,United Kingdom,overview,2020-05-26,698
K02000001,United Kingdom,overview,2020-05-25,603
K02000001,United Kingdom,overview,2020-05-24,587
K02000001,United Kingdom,overview,2020-05-23,643
K02000001,United Kingdom,overview,2020-05-22,740
K02000001,United Kingdom,overview,2020-05-21,841
